file,page,line_num,text,lang,score,ppl,cat
CTX199600359,10,15,"V jižní části parcely nad hlubokými sklepy, více méně",ces_Latn,1.0000,221.71,Clear,
CTX199600359,10,16,"přesně na jejich půdorysu, stál dvoupatrový dům. Původně byl",ces_Latn,1.0000,117.07,Clear,
CTX199600359,10,17,"součástí pivovaru, ale po jeho přestěhování na poč. 20.",ces_Latn,1.0000,473.01,Clear,
CTX199600359,10,18,"stol., sloužil pouze obytným účelům. Severní okraj podél",ces_Latn,0.9997,278.24,Clear,
CTX199600359,10,19,"Soudní ul. lemovala vysoká zeď, přerušená vchodem,",ces_Latn,0.9997,441.57,Clear,
CTX199600359,100,1,32,N/A,0,0,Non-text,
CTX199600359,100,4,mmm,N/A,0,0,Non-text,
CTX199600359,100,5,242,N/A,0,0,Non-text,
CTX199600359,100,7,mmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,100,8,B4,N/A,0,0,Non-text,
CTX199600359,100,11,mmmmmmmmmmmmmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,100,13,hl.190 - 210cm,N/A,0,0,Non-text,
CTX199600359,100,15,mmmmmmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,10,20,situovaným těsně vedle budovy Zdravotní školy. Ke zdi,ces_Latn,1.0000,417.06,Clear,
CTX199600359,10,21,přiléhalo dlouhé přízemní nepodsklepené stavení s okny,ces_Latn,1.0000,541.12,Clear,
CTX199600359,10,22,"obrácenými k jihu, do prostorného dvora. Stav před demolicí",ces_Latn,1.0000,815.47,Clear,
CTX199600359,10,23,a její průběh předvádí Tab. I -II.,ces_Latn,1.0000,291.53,Clear,
CTX199600359,100,2,Číslo,slk_Latn,0.7885,22248.62,Clear,
CTX199600359,100,3,sáčku,ces_Latn,0.6294,6925.68,Clear,
CTX199600359,100,6,Sonda,tur_Latn,0.2650,1137831.12,Clear,
CTX199600359,100,9,objekt popis,hrv_Latn,0.9604,2609.02,Clear,
CTX199600359,100,10,vrstva,slv_Latn,0.9992,2818.83,Clear,
CTX199600359,100,12,o. 28 - jímka,ces_Latn,0.9991,1245.86,Clear,
CTX199600359,100,14,nálezy,slk_Latn,0.8419,9070.55,Clear,
CTX199600359,100,16,keramika,uzn_Latn,0.2214,3276.07,Clear,
CTX199600359,100,25,243,N/A,0,0,Non-text,
CTX199600359,100,26,C4,N/A,0,0,Non-text,
CTX199600359,100,17,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,18,"Fe: 2 zl.núžek,",slk_Latn,0.9998,275.90,Clear,
CTX199600359,100,19,"1 hřeb, 1 plo",ces_Latn,1.0000,920.81,Clear,
CTX199600359,100,20,"plokus,3,50 x",epo_Latn,0.2479,425.37,Clear,
CTX199600359,100,21,"5,30cm, struska",pol_Latn,0.5366,879.57,Clear,
CTX199600359,100,22,sklo:l zl. vpi-,slv_Latn,0.8622,658.99,Clear,
CTX199600359,100,23,"chnutého dna,",slk_Latn,0.9758,1455.90,Clear,
CTX199600359,100,24,1 zl. s nálepem,ces_Latn,0.9817,1747.34,Clear,
CTX199600359,100,27,pravěk,ces_Latn,1.0000,939.45,Clear,
CTX199600359,100,28,povrch začistěn do,ces_Latn,0.9996,441.42,Clear,
CTX199600359,100,29,hl.130- 150cm a vy,ces_Latn,0.5819,1815.89,Clear,
CTX199600359,100,30,vyprav. o. 29,slk_Latn,0.7782,4191.78,Clear,
CTX199600359,100,36,244,N/A,0,0,Non-text,
CTX199600359,100,37,C3,N/A,0,0,Non-text,
CTX199600359,100,41,zá,N/A,0,0,Non-text,
CTX199600359,100,44,245,N/A,0,0,Non-text,
CTX199600359,100,45,C3-4,N/A,0,0,Non-text,
CTX199600359,100,31,výplňtmavá hlinitá,slk_Latn,0.9025,835.74,Clear,
CTX199600359,100,32,s čočkami žl. písku,ces_Latn,0.5646,286.26,Clear,
CTX199600359,100,33,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,100,34,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,35,škeble,slv_Latn,0.8823,7073.53,Clear,
CTX199600359,100,38,recent,eng_Latn,1.0000,1.00,Clear,
CTX199600359,100,39,o. 30 sklep,slv_Latn,0.9482,2225.00,Clear,
CTX199600359,100,40,hrubý destrukční zá,ces_Latn,0.9999,322.23,Clear,
CTX199600359,100,42,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,100,43,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,46,souvrství nad tmavou,ces_Latn,1.0000,1226.14,Clear,
CTX199600359,100,47,hlinitou pravěkou,ces_Latn,0.9998,542.65,Clear,
CTX199600359,100,55,náe,N/A,0,0,Non-text,
CTX199600359,100,56,246,N/A,0,0,Non-text,
CTX199600359,100,57,C3-4,N/A,0,0,Non-text,
CTX199600359,100,48,do hl. 130cm,ces_Latn,0.4356,3305.27,Clear,
CTX199600359,100,49,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,100,50,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,51,Fe: 4 zl. hřebí,ces_Latn,1.0000,508.31,Clear,
CTX199600359,100,52,hřebíplochá,ces_Latn,1.0000,595.76,Clear,
CTX199600359,100,53,"kramle,1 zahro-",ces_Latn,0.7339,996.60,Clear,
CTX199600359,100,54,cený konec ná,ces_Latn,0.9976,572.36,Clear,
CTX199600359,100,58,hl.l30-140cm,vie_Latn,0.2625,823.08,Clear,
CTX199600359,100,59,"tmavá hlinitá, krope",slk_Latn,0.9467,654.80,Clear,
CTX199600359,100,60,krope,swe_Latn,0.2235,443.96,Clear,
CTX199600359,100,61,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,100,62,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,63,247,N/A,0,0,Non-text,
CTX199600359,100,64,C3-4,N/A,0,0,Non-text,
CTX199600359,100,70,248,N/A,0,0,Non-text,
CTX199600359,100,71,B4,N/A,0,0,Non-text,
CTX199600359,100,74,hl. 220 -225cm,N/A,0,0,Non-text,
CTX199600359,100,77,249,N/A,0,0,Non-text,
CTX199600359,100,78,B4,N/A,0,0,Non-text,
CTX199600359,100,65,hl. 140-150cm,gle_Latn,0.2703,392.57,Clear,
CTX199600359,100,66,"tmavá hlinitá, krope",slk_Latn,0.9467,654.80,Clear,
CTX199600359,100,67,krope,swe_Latn,0.2235,443.96,Clear,
CTX199600359,100,68,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,100,69,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,72,"o. 28 výplň,",slk_Latn,0.9509,963.06,Clear,
CTX199600359,100,73,probarvená hlinitá,ces_Latn,0.8862,1943.68,Clear,
CTX199600359,100,75,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,100,76,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,79,0.28 výplň,slk_Latn,0.7790,647.59,Clear,
CTX199600359,100,80,probarvená hlinitá,ces_Latn,0.8862,1943.68,Clear,
CTX199600359,100,81,hl.225 -240cm,deu_Latn,0.4148,1597.65,Clear,
CTX199600359,101,1,33,N/A,0,0,Non-text,
CTX199600359,101,4,mmmmnm,N/A,0,0,Non-text,
CTX199600359,101,5,250,N/A,0,0,Non-text,
CTX199600359,101,7,mmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,101,8,B4,N/A,0,0,Non-text,
CTX199600359,101,11,mmmmmmmmmmmmmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,100,82,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,100,83,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,100,84,sklo: 3 zl.,slv_Latn,0.5004,438.27,Clear,
CTX199600359,100,85,okraje poháru,ces_Latn,0.9998,1999.16,Clear,
CTX199600359,100,86,(nahnědlé),ces_Latn,0.9998,928.07,Clear,
CTX199600359,101,2,Číslo,slk_Latn,0.7885,22248.29,Clear,
CTX199600359,101,3,sáčku,ces_Latn,0.6294,6925.73,Clear,
CTX199600359,101,6,Sonda,tur_Latn,0.2650,1137833.25,Clear,
CTX199600359,101,9,objekt popis,hrv_Latn,0.9604,2609.01,Clear,
CTX199600359,101,10,vrstva,slv_Latn,0.9992,2818.84,Clear,
CTX199600359,101,12,o.28 výplň,slk_Latn,0.6092,980.89,Clear,
CTX199600359,101,13,přebarvená,ces_Latn,1.0000,1083.68,Clear,
CTX199600359,101,14,hl.210-240,N/A,0,0,Non-text,
CTX199600359,101,26,251,N/A,0,0,Non-text,
CTX199600359,101,27,B4,N/A,0,0,Non-text,
CTX199600359,101,15,nálezy,slk_Latn,0.8419,9070.55,Clear,
CTX199600359,101,16,mmmmmmmmmmmrammmm,mlt_Latn,0.8893,1820.13,Clear,
CTX199600359,101,17,bronz:plechová,ces_Latn,0.9589,2698.01,Clear,
CTX199600359,101,18,hladká puklič-,slk_Latn,0.5093,806.68,Clear,
CTX199600359,101,19,"ka,0 2,5cm",vie_Latn,0.2927,378.39,Clear,
CTX199600359,101,20,sklo:zl. číše,ces_Latn,0.7295,584.57,Clear,
CTX199600359,101,21,s natav. nití,cat_Latn,0.4987,50334.05,Clear,
CTX199600359,101,22,"pod okrajem,",slv_Latn,0.6440,848.00,Clear,
CTX199600359,101,23,"Izl.s nálepem,",ces_Latn,0.6173,1175.38,Clear,
CTX199600359,101,24,část vpich.dna,ces_Latn,1.0000,716.26,Clear,
CTX199600359,101,25,přeslen (ker.),ces_Latn,1.0000,1017.12,Clear,
CTX199600359,101,28,0.28 výplň,slk_Latn,0.7790,647.59,Clear,
CTX199600359,101,39,252,N/A,0,0,Non-text,
CTX199600359,101,40,B4,N/A,0,0,Non-text,
CTX199600359,101,29,přemístěná tmavá hli,ces_Latn,1.0000,142.25,Clear,
CTX199600359,101,30,hli+ probarvená,ces_Latn,0.9672,9138.64,Clear,
CTX199600359,101,31,"hlinitá,hl. 240-260cm",slk_Latn,0.3226,3114.02,Clear,
CTX199600359,101,32,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,33,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,101,34,sklo:2 zl. stěny,ces_Latn,1.0000,573.31,Clear,
CTX199600359,101,35,číše s natave-,slk_Latn,0.6039,1713.10,Clear,
CTX199600359,101,36,ným promačk.,slk_Latn,0.5986,490.32,Clear,
CTX199600359,101,37,páskem,ces_Latn,0.9992,18199.23,Clear,
CTX199600359,101,38,škeble,slv_Latn,0.8823,7073.53,Clear,
CTX199600359,101,41,o.28 výplň,slk_Latn,0.6092,980.89,Clear,
CTX199600359,101,42,tmavá probarvená hli,ces_Latn,0.9055,1720.00,Clear,
CTX199600359,101,47,253,N/A,0,0,Non-text,
CTX199600359,101,48,C4,N/A,0,0,Non-text,
CTX199600359,101,49,"o. 29,hl.150 - 160",N/A,0,0,Non-text,
CTX199600359,101,55,254,N/A,0,0,Non-text,
CTX199600359,101,56,C4,N/A,0,0,Non-text,
CTX199600359,101,57,"o. 31, hl.160- 185cm",N/A,0,0,Non-text,
CTX199600359,101,59,kro,N/A,0,0,Non-text,
CTX199600359,101,61,255,N/A,0,0,Non-text,
CTX199600359,101,62,C3,N/A,0,0,Non-text,
CTX199600359,101,43,hlihl . 260-280cm,kor_Hang,0.4306,2098.33,Clear,
CTX199600359,101,44,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,45,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,101,46,škeble,slv_Latn,0.8823,7073.53,Clear,
CTX199600359,101,50,"tmavá hlinitá, kro",slk_Latn,0.9414,659.63,Clear,
CTX199600359,101,51,krožlutým pískem,ces_Latn,1.0000,253.79,Clear,
CTX199600359,101,52,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,53,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,101,54,škeble,slv_Latn,0.8823,7073.53,Clear,
CTX199600359,101,58,tmavá hlinitá kro,slk_Latn,0.7095,808.74,Clear,
CTX199600359,101,60,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,63,o.30 recent,eng_Latn,0.9986,3212.43,Clear,
CTX199600359,101,69,256,N/A,0,0,Non-text,
CTX199600359,101,70,C3,N/A,0,0,Non-text,
CTX199600359,101,64,"zásyp sklepa, hrubá",slk_Latn,0.7588,1724.98,Clear,
CTX199600359,101,65,destrukce,ces_Latn,0.9994,1148.94,Clear,
CTX199600359,101,66,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,67,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,101,68,škeble,slv_Latn,0.8823,7073.53,Clear,
CTX199600359,101,71,o.30 zásyp dochované,ces_Latn,0.5461,1971.60,Clear,
CTX199600359,101,72,dochovanénáběhu opukové,ces_Latn,0.9989,1577.19,Clear,
CTX199600359,101,73,klenby a V obvodní,ces_Latn,0.9999,2730.96,Clear,
CTX199600359,101,74,zdi sklepa,slv_Latn,0.9999,12803.54,Clear,
CTX199600359,101,75,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,76,zl. mazanice-,slk_Latn,0.3979,568.51,Clear,
CTX199600359,101,77,výmaz stěn,ces_Latn,1.0000,208.30,Clear,
CTX199600359,101,78,257,N/A,0,0,Non-text,
CTX199600359,101,79,B4,N/A,0,0,Non-text,
CTX199600359,101,86,258,N/A,0,0,Non-text,
CTX199600359,101,87,B4,N/A,0,0,Non-text,
CTX199600359,101,80,o. 28 výplň,slk_Latn,0.6457,1662.48,Clear,
CTX199600359,101,81,promísená tmavá hli,ces_Latn,0.9217,1080.88,Clear,
CTX199600359,101,82,hlihl.280-300crn,isl_Latn,0.4996,1505.95,Clear,
CTX199600359,101,83,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,84,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,101,85,struska,pol_Latn,0.6387,1071.47,Clear,
CTX199600359,101,88,o. 28 výplň,slk_Latn,0.6457,1662.48,Clear,
CTX199600359,101,89,tmavá probarvená nade,ces_Latn,0.5917,1320.15,Clear,
CTX199600359,101,90,"dnem , hl. 300-335cm",ces_Latn,0.7693,942.10,Clear,
CTX199600359,101,91,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,101,92,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,101,93,škeble,slv_Latn,0.8823,7073.53,Clear,
CTX199600359,101,95,258A,N/A,0,0,Non-text,
CTX199600359,101,96,B4,N/A,0,0,Non-text,
CTX199600359,101,97,"/ ,",N/A,0,0,Non-text,
CTX199600359,102,1,34,N/A,0,0,Non-text,
CTX199600359,102,4,mmmmmm,N/A,0,0,Non-text,
CTX199600359,102,5,259,N/A,0,0,Non-text,
CTX199600359,102,7,mmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,102,8,C4,N/A,0,0,Non-text,
CTX199600359,102,11,mmmmmmmmmmmmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,102,14,hl. 170 - 200cm,N/A,0,0,Non-text,
CTX199600359,101,94,struska,pol_Latn,0.6387,1071.47,Clear,
CTX199600359,101,98,celá miniatur,slk_Latn,0.4668,5536.18,Clear,
CTX199600359,101,99,miniaturnádobka,ces_Latn,0.5876,1970.37,Clear,
CTX199600359,101,100,červené mal.,ces_Latn,0.6454,1905.03,Clear,
CTX199600359,102,2,Číslo,slk_Latn,0.7885,22248.29,Clear,
CTX199600359,102,3,sáčku,ces_Latn,0.6294,6925.73,Clear,
CTX199600359,102,6,Sonda,tur_Latn,0.2650,1137833.25,Clear,
CTX199600359,102,9,objekt popis,hrv_Latn,0.9604,2609.01,Clear,
CTX199600359,102,10,vrstva,slv_Latn,0.9992,2818.84,Clear,
CTX199600359,102,12,o*30 hrubý destruk,ces_Latn,0.7521,2007.66,Clear,
CTX199600359,102,13,destrukzásyp,hun_Latn,0.7717,940.36,Clear,
CTX199600359,102,15,nálezy,slk_Latn,0.8419,9070.55,Clear,
CTX199600359,102,16,mmmmmmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,102,24,260,N/A,0,0,Non-text,
CTX199600359,102,25,C4,N/A,0,0,Non-text,
CTX199600359,102,17,keramikaa,fin_Latn,0.8896,1379.02,Clear,
CTX199600359,102,18,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,102,19,kostěná jehlice,ces_Latn,1.0000,1092.34,Clear,
CTX199600359,102,20,"plochá,s rytý-",ces_Latn,0.4643,625.30,Clear,
CTX199600359,102,21,kroužky na obou,ces_Latn,0.9985,1439.19,Clear,
CTX199600359,102,22,"stranách,",ces_Latn,0.7324,471.08,Clear,
CTX199600359,102,23,"dl.9,5cm, ulom.",ceb_Latn,0.1829,922.71,Clear,
CTX199600359,102,26,o.30 destrukční,ces_Latn,0.9998,1045.07,Clear,
CTX199600359,102,27,"zásyp,hl.150-200cm",ces_Latn,0.7013,2009.36,Clear,
CTX199600359,102,28,nad V zdíš náběhem,ces_Latn,1.0000,716.63,Clear,
CTX199600359,102,29,klenby,ces_Latn,0.9991,16664.45,Clear,
CTX199600359,102,30,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,32,261,N/A,0,0,Non-text,
CTX199600359,102,33,C3,N/A,0,0,Non-text,
CTX199600359,102,37,262,N/A,0,0,Non-text,
CTX199600359,102,38,C3,N/A,0,0,Non-text,
CTX199600359,102,41,hl. 145 - 150cm,N/A,0,0,Non-text,
CTX199600359,102,44,263,N/A,0,0,Non-text,
CTX199600359,102,45,C4,N/A,0,0,Non-text,
CTX199600359,102,48,hl.120 - 150cm,N/A,0,0,Non-text,
CTX199600359,102,31,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,102,34,tmavá hlinitá pro-,ces_Latn,0.6243,976.91,Clear,
CTX199600359,102,35,"barvená,hl.150-160cm",ces_Latn,0.9331,3113.49,Clear,
CTX199600359,102,36,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,39,13 .stol .,vie_Latn,0.6217,1391.98,Clear,
CTX199600359,102,40,hlinitá probarvená,ces_Latn,0.8862,3376.47,Clear,
CTX199600359,102,42,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,43,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,102,46,"o.33 výplň, hlini",slk_Latn,0.9519,664.31,Clear,
CTX199600359,102,47,hliniprobarvená,ces_Latn,0.8475,2617.86,Clear,
CTX199600359,102,49,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,50,mušle,ces_Latn,0.6645,12200.95,Clear,
CTX199600359,102,51,264,N/A,0,0,Non-text,
CTX199600359,102,52,C4,N/A,0,0,Non-text,
CTX199600359,102,58,265,N/A,0,0,Non-text,
CTX199600359,102,59,C1,N/A,0,0,Non-text,
CTX199600359,102,64,266,N/A,0,0,Non-text,
CTX199600359,102,65,C1,N/A,0,0,Non-text,
CTX199600359,102,53,o*33 tmavá hlinitá,slk_Latn,0.8780,1443.53,Clear,
CTX199600359,102,54,"kropenatá ,hl * 120-",ces_Latn,0.9962,10683.61,Clear,
CTX199600359,102,55,130cm,eng_Latn,0.2500,14848.68,Clear,
CTX199600359,102,56,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,57,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,102,60,geologický rez do,ces_Latn,0.5610,1795.89,Clear,
CTX199600359,102,61,"hl. 50cm,",gle_Latn,0.5436,367.46,Clear,
CTX199600359,102,62,šedá hlimitá,ces_Latn,0.7755,4910.43,Clear,
CTX199600359,102,63,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,66,geologický rez do,ces_Latn,0.5610,1795.89,Clear,
CTX199600359,102,67,"hl* 80cm, hlinitá",gle_Latn,0.5551,3980.86,Clear,
CTX199600359,102,68,probarvená žlutým,ces_Latn,0.9992,532.67,Clear,
CTX199600359,102,71,267,N/A,0,0,Non-text,
CTX199600359,102,72,C1,N/A,0,0,Non-text,
CTX199600359,102,77,268,N/A,0,0,Non-text,
CTX199600359,102,78,C1,N/A,0,0,Non-text,
CTX199600359,102,80,"hl,150cm (+ 110)",N/A,0,0,Non-text,
CTX199600359,102,84,269,N/A,0,0,Non-text,
CTX199600359,102,85,C1,N/A,0,0,Non-text,
CTX199600359,102,87,hl.200cm (+110),N/A,0,0,Non-text,
CTX199600359,102,69,jílem,ces_Latn,1.0000,95612.02,Clear,
CTX199600359,102,70,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,73,geologický rez do,ces_Latn,0.5610,1795.89,Clear,
CTX199600359,102,74,"hl.l20cm, šedá s",ces_Latn,0.7613,606.06,Clear,
CTX199600359,102,75,uhlíky,ces_Latn,0.9997,2831.33,Clear,
CTX199600359,102,76,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,79,geologický řez do,ces_Latn,1.0000,1735.24,Clear,
CTX199600359,102,81,tmavá hlinitá,slk_Latn,0.9259,1250.77,Clear,
CTX199600359,102,82,přemístěná,ces_Latn,1.0000,89.88,Clear,
CTX199600359,102,83,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,102,86,geologický řez do,ces_Latn,1.0000,1735.24,Clear,
CTX199600359,102,88,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,103,3,mmmmmm,N/A,0,0,Non-text,
CTX199600359,103,4,270,N/A,0,0,Non-text,
CTX199600359,103,6,mmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,103,7,C4,N/A,0,0,Non-text,
CTX199600359,103,10,mmmmmmmmmmmmmmmmmmmmmmm,N/A,0,0,Non-text,
CTX199600359,103,1,Číslo,slk_Latn,0.7885,22248.29,Clear,
CTX199600359,103,2,sáčku,ces_Latn,0.6294,6925.73,Clear,
CTX199600359,103,5,Sonda,tur_Latn,0.2650,1137833.25,Clear,
CTX199600359,103,8,objekt popis,hrv_Latn,0.9604,2609.01,Clear,
CTX199600359,103,9,vrstva,slv_Latn,0.9992,2818.84,Clear,
CTX199600359,103,11,0.33 výplň,slk_Latn,0.8258,754.90,Clear,
CTX199600359,103,12,hl.150 -210cm,deu_Latn,0.3413,2026.14,Clear,
CTX199600359,103,13,probarvená hlinitá,ces_Latn,0.8862,1943.68,Clear,
CTX199600359,103,14,nálezy,slk_Latn,0.8419,9070.55,Clear,
CTX199600359,103,15,mmmmminmmmmmmmmmm,scn_Latn,0.3491,281.28,Clear,
CTX199600359,103,16,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,103,17,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,103,18,271,N/A,0,0,Non-text,
CTX199600359,103,19,C4,N/A,0,0,Non-text,
CTX199600359,103,21,hl.150 - 210cm,N/A,0,0,Non-text,
CTX199600359,103,27,272,N/A,0,0,Non-text,
CTX199600359,103,28,C4,N/A,0,0,Non-text,
CTX199600359,103,34,273,N/A,0,0,Non-text,
CTX199600359,103,35,C3,N/A,0,0,Non-text,
CTX199600359,103,20,0.33 výplň,slk_Latn,0.8258,754.90,Clear,
CTX199600359,103,22,probarvená hlinitá,ces_Latn,0.8862,1943.68,Clear,
CTX199600359,103,23,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,103,24,Fe: 1 zl. plo,slk_Latn,0.9355,440.95,Clear,
CTX199600359,103,25,"plo,2 amorf.",vie_Latn,0.3978,696.21,Clear,
CTX199600359,103,26,tyčinky,slk_Latn,0.9328,325357.97,Clear,
CTX199600359,103,29,"J část sondy, hl.130",ces_Latn,1.0000,809.86,Clear,
CTX199600359,103,30,"- 150cm, tmavá hli",slk_Latn,0.9104,3159.51,Clear,
CTX199600359,103,31,hlikropenatá,ces_Latn,0.9592,2850.21,Clear,
CTX199600359,103,32,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,103,33,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,103,36,"J část sondy,hl.150",ces_Latn,1.0000,2294.28,Clear,
CTX199600359,103,38,hli,N/A,0,0,Non-text,
CTX199600359,103,40,274,N/A,0,0,Non-text,
CTX199600359,103,41,B3-4,N/A,0,0,Non-text,
CTX199600359,103,46,hl.130 - 145cm,N/A,0,0,Non-text,
CTX199600359,103,49,275,N/A,0,0,Non-text,
CTX199600359,103,50,B3-4,N/A,0,0,Non-text,
CTX199600359,103,54,276,N/A,0,0,Non-text,
CTX199600359,103,55,B3-4,N/A,0,0,Non-text,
CTX199600359,103,56,hl.160*- 175cm,N/A,0,0,Non-text,
CTX199600359,103,37,"- 170cm,tmavá hli",slk_Latn,0.6621,13415.35,Clear,
CTX199600359,103,39,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,103,42,pravěk,ces_Latn,1.0000,939.45,Clear,
CTX199600359,103,43,těžko rozlišitelný,ces_Latn,1.0000,301.61,Clear,
CTX199600359,103,44,ob jekt,slv_Latn,0.9699,1293.86,Clear,
CTX199600359,103,45,tmavá hlinitá,slk_Latn,0.9259,1250.77,Clear,
CTX199600359,103,47,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,103,48,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,103,51,hl.l45'-160cm,ces_Latn,0.2721,2666.81,Clear,
CTX199600359,103,52,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,103,53,kosti,ces_Latn,0.7778,2294.05,Clear,
CTX199600359,103,57,keramika,uzn_Latn,0.2214,3276.06,Clear,
CTX199600359,103,59,277,N/A,0,0,Non-text,
