keyword,score
nazý nazýzánikem,4.00
jemuž padla,4.00
emporu zazděn,4.00
klášter servitů,4.00
užívání voj,4.00
vilem konegedsky,4.00
beze zbytků,4.00
obe obezdí,4.00
hradním palácem,4.00
staré cestě,4.00
předního cínovce,4.00
lesem porostlou,4.00
5m široký,4.00
má směr,4.00
sta tku,4.00
jekož základech,4.00
pozdějších stav,4.00
de mironicz,4.00
de myerunycz,4.00
sesutých prostorách,4.00
hloubení jam,4.00
reštaurační budovou,4.00
rovinaté poloze,4.00
elipso elipsohradiště,4.00
laténské spony,4.00
krušnýcn norácn,4.00
aouném kopci,4.00
riesenberka r,4.00
30°8 razíce,4.00
de rasitz,4.00
řekou bíinou,4.00
kotynský vřen,4.00
okrounié piató,4.00
jeno osa,4.00
druhé bráně,4.00
nejmahut- nější,4.00
stanicí úpořiny,4.00
cnemickou továrnu,4.00
zjištěno osídlení,4.00
soutokem ledvického,4.00
kopání základů,4.00
obecní kronika,4.00
stýká žichovský,4.00
delší osa,4.00
de zychow,4.00
severočeský kraj,4.00
ústí n/l,4.00
stavební úpravy,4.00
vyhlídková terasa,4.00
málo zůstalo,4.00
%o brozánky,4.00
pravém bř,4.00
ústí i/l,4.00
dnešního stavu,4.00
velmi pravěpodobné,4.00
litoměři litoměři,4.00
stánebyla zjištěna,4.00
vilémem keůblem,4.00
krušnými horami,4.00
zales zaleskopci,4.00
37a/ne g,4.00
příkrém ostruhu,4.00
západ západstraně,4.00
nějaký čas,4.00
dnešní podoby,4.00
sorobém stylu,4.00
schwaden a/elbe,4.00
poštovní úřad,4.00
de turmicz,4.00
zúžen jer,4.00
několik metrů,4.00
spadá příkře,4.00
amatérských výkopech,4.00
březno- fráže,4.00
hlubokou strží,4.00
kočičí hlava,4.00
hre d,4.00
krajská polit,4.00
zprávu podávají,4.00
karel slepička,4.00
spatřiti jednu,4.00
zatím nepřístupnou,4.00
de kwietkow,4.00
bohmens burgen,4.00
dle gerichtsbezirke,4.00
sebastianberg umfassend,4.00
pragensls /1358,4.00
místní iména,4.00
rozvržená sbírek,4.00
=sr-—- -==-=,4.00
seznam tabulek,4.00
roh špýcharu,4.00
hradní věž,4.00
opěrný pilíř,4.00
gotická zvonice,4.00
prvním předhredím,4.00
rekreační chaty,4.00
česká lipa,4.00
červený dům,4.00
in lipa,4.00
palácová věž,4.00
krásný buk,4.00
hrad- renea,4.00
česká lrpa,4.00
x tuchořice,4.00
olšnek měř,4.00
xmymxkex tvrmice,4.00
avr slávikov,4.00
lípa-hrad lipý,4.00
lípa-hrad falkenberk-neg,4.00
lípa- tvrziště-neg,4.00
vyte sáné,4.00
amv list,4.00
ovocné sady,4.00
čedičové sjábe,4.00
byle ochranou,4.00
slohu románském,4.00
de radlsko,4.00
5m silné,4.00
pi4n -na,4.00
též liljov,4.00
zapuštění trámů,4.00
používali postevníci,4.00
dřevěných paženích,4.00
řečenú slúp,4.00
št š,4.00
sta nie®,4.00
skutečně jedná,4.00
temeno hory,4.00
mohlo jiti,4.00
konečný úsudek,4.00
de wardenberc,4.00
de v/artenberch,4.00
řekou ploučnicí,4.00
valene sklenuty,4.00
groznata comes,4.00
circuitum stuolenez,4.00
1/2 hod,4.00
výběžku ašského,4.00
stránce zpracováno,4.00
jablonec n/n,4.00
nikl ýcn,4.00
— —,4.00
_ _,4.00
okresu chomutovském,4.00
okresu lounském,4.00
viz čj,4.00
podbořany zahrnuty,4.00
severočeském kraji,4.00
j ihových,4.00
veškeré stepy,4.00
ia jížní,4.00
uorního dvoa,4.00
věžovité stavby,4.00
ka kakvádrů,4.00
starý berštejn,4.00
žižkův kopec,4.00
severo- západnía,4.00
dochována studna,4.00
tkknp studna,4.00
vězení ■,4.00
okresu lounského,4.00
okresu žateckého,4.00
okresu litoměřickém,4.00
okresu roudnické,4.00
filipově knize,4.00
vrub důlnímu,4.00
mnoho tvrzišt,4.00
nová sídliště,4.00
jednotlivé případy,4.00
vlastního poznání,4.00
dr macek,4.00
vlastní soupis,4.00
následují údaje,4.00
nálezech uvedeny,4.00
lite lite,4.00
kopií katastr,4.00
in wrabinecz,4.00
doba zániku,4.00
zemědělské akademie,4.00
kopání lože,4.00
vodní reservoár,4.00
15*0 ~,4.00
benešova n/pl,4.00
a0/ ne9,4.00
cq0/ weg,4.00
5u8o tsek-nepy1,4.00
česká kaněnice,4.00
zámecký vrdh,4.00
bývalo vězení,4.00
— -—mg,4.00
- xi,4.00
1198/9 bogusca,4.00
de decin,4.00
lesní park,4.00
spíše považovat,4.00
mohl vnést,4.00
snazší orientaci,4.00
dvou skupin,4.00
katastrál katastrálmap,4.00
opatřený čísly,4.00
zvláštním seznamu,4.00
uvedením stránek,4.00
venčí řevéná,4.00
tesaných kvádrů,4.00
le sů,4.00
>0 w,4.00
veškeré známky,4.00
dětský domov,4.00
naplněný vodou,4.00
panství děčínskému,4.00
— ng,4.00
krásny buk,4.00
strmém pahorku,4.00
kte rý,4.00
doba založení,4.00
’ nepodařilo,4.00
strmým skaliskem,4.00
kyjo kyjo,4.00
henrici kygaw,4.00
loos- burg,4.00
nepodařilo bezpečně,4.00
pravém břehu,4.00
obě pocházejí,4.00
dosti příkrý,4.00
seznam lokalít,4.00
též vraty,4.00
polokruhové bašty,4.00
spojená mostkem,4.00
a00 á,4.00
nyní internát,4.00
benešova i/pl,4.00
de erkerzis,4.00
kolmou stěnou,4.00
lidově nazývá,4.00
61o mape-1,4.00
d saunštejn,4.00
farnosti bozběleské,4.00
stavby průmyslové,4.00
húgwicz řeč,4.00
ptáček seděním,4.00
odpovídají popisu,4.00
spojeny sedlem,4.00
lidu nazývané,4.00
švédské šance,4.00
ráje andělkabíček,4.00
severních dveří,4.00
jmenoval původně,4.00
zdejší osada,4.00
dnešní radnice,4.00
okolními pozemky,4.00
okres litoměříce,3.99
okres momutov,3.99
okres -eplice,3.99
uveden okres,3.99
okres připojen,3.99
liber ii,3.98
ob ii,3.98
josefa ii,3.98
cb ii,3.98
mencke ii,3.98
chronik ii,3.98
frb ii,3.98
lokalita zakreslena,3.98
lokalita ř,3.98
frb iv,3.97
karla iv,3.97
brofous iv,3.97
frofous iv,3.97
ar iv,3.97
sa iv,3.97
lokalite č,3.96
dobeš č,3.96
lokklita č,3.96
lok-lita č,3.96
lita č,3.96
teplitz-schônau č,3.96
č 103/2,3.96
č mege,3.96
neste č,3.96
č vi,3.96
dvůr jzd,3.95
dnešní dvůr,3.95
sám dvůr,3.95
červený dvůr,3.95
masný dvůr,3.95
krásný dvůr,3.95
dvůr čp,3.95
zámky liber,3.94
lokalita č,3.94
oválného půdorysu,3.93
obdélníkového půdorysu,3.93
kruhového půdorysu,3.93
prů půdorysu,3.93
elipsovitého půdorysu,3.93
oválneho půdorysu,3.93
okrouhlého půdorysu,3.93
jejím místě,3.92
nemá zbytky,3.92
místě příkopů,3.92
zbytky nezachovány,3.92
zbytky zdivé,3.92
místě dvore,3.92
místě zvonice,3.92
zbytky místností,3.92
prvém místě,3.92
zachovaly zbytky,3.92
zbytky valů,3.92
libchava-okres čes,3.91
hvězdov-okres čes,3.91
konojedy-okres čes,3.91
kunratice-okres čes,3.91
kvítkov-okres čes,3.91
lvová-okres čes,3.91
petrovice-okres čes,3.91
pihel-okres čes,3.91
mimoň-okres čes,3.91
stvolínky-okres čes,3.91
ralskem-okres čes,3.91
stružnice-okres čes,3.91
svébořice-okres čes,3.91
volfartice-okres čes,3.91
vrchovany-okres čes,3.91
okres čes,3.90
dolní chobolice,3.90
dolní litvínov,3.90
/ keupka,3.90
/ razíce,3.90
/ veivě,3.90
/ zabrusany,3.90
4b /,3.90
dolní chřibská,3.90
dolní valtínov,3.90
/ btrníky,3.90
dolní poustevna,3.90
straně kolmé,3.88
pravé straně,3.88
západhí straně,3.88
straně přerušen,3.88
vnější straně,3.88
jihovýchodní straně,3.88
severovýchodní straně,3.88
levé straně,3.88
severozápadní straně,3.88
okraji lesa,3.87
jihovýchodním okraji,3.87
burgen iii,3.87
ar iii,3.87
sa iii,3.87
dvě části,3.86
vybrané části,3.86
části zasypán,3.86
části zasuty,3.86
tři části,3.86
zadní části,3.86
části vyzděna,3.86
části zasypané,3.86
části dřevěná,3.86
celá stavba,3.86
celá plošina,3.86
stavbou popluž,3.86
velké březno,3.86
celá konfigurace,3.86
zbytek zdivá,3.86
touto stavbou,3.86
bílý újezd,3.85
režný újezd,3.85
velký újezd,3.85
celá lokalita,3.84
kol zřícenin,3.83
hradní věže,3.83
ač 31/16,3.83
kol r,3.83
ač 28/640,3.83
ač 4/351,3.83
ač 4/377,3.83
ač 31/271,3.83
zbytek věže,3.83
postavena kol,3.83
úplně přestavěny,3.83
stavbě hráze,3.82
stavbě rozhledny,3.82
stavbě kravína,3.82
gb ii,3.82
vsi prachové,3.81
budov vsi,3.81
vsi řepčic,3.81
vsi spatřují,3.81
vsi černic,3.81
vsi zielenicz,3.81
vsi kostomlat,3.81
vsi razyczych,3.81
vsi kvítková,3.81
vsi brtníky,3.81
vsi kyjova,3.81
klenby sklepů,3.80
vnější zdi,3.80
holanského mlýna,3.80
barokní přístavky,3.80
staré splavy,3.80
splavy —,3.80
předeohradní zdi,3.80
době barokní,3.80
zbytky zdivá,3.78
katastnu obce,3.78
obce levína,3.78
konci niln,3.78
obce kotelic,3.78
obce levous,3.78
obce hořetic,3.78
pokraji obce,3.78
obce polerad,3.78
novodobý špýchar,3.78
obce leštiny,3.78
špýchar jzd,3.78
okrajem obce,3.78
obce svoru,3.78
kontribuční špýchar,3.78
obce milířska,3.78
zbytky věže,3.76
sedlo n/bíl,3.75
úpravě terénu,3.75
konečný soud,3.75
vně paláce,3.75
městských hradeb,3.75
navážka terénu,3.75
školní budovy,3.75
vsí ostrou,3.75
osada rybnov,3.75
objekty pojaty,3.75
dra p,3.75
řekou bílinou,3.75
vsí zieleniczy,3.75
velkou věží,3.75
kundraticzych jinak,3.75
ostatního terénu,3.75
lloa lo,3.75
oválnou věží,3.75
dvoře st,3.75
stráže p,3.75
stráž p,3.75
< rybnov,3.75
vytesané schody,3.75
vartemberga jinak,3.75
tovární objekty,3.75
okrouhlou věží,3.75
objekty nacházejí,3.75
staveniště budovy,3.75
celková mapa,3.73
lokalita c,3.73
koruna valu,3.73
valu chybí,3.73
byly zavezeny,3.73
rozboření byly,3.73
zjišťovacího výzkumu,3.73
hexx výzkumu,3.73
zjištovacího výzkumu,3.73
kopání byly,3.73
zbytek valu,3.73
paty valu,3.73
byly pokládány,3.73
koruně valu,3.73
zjišťovacím výzkumu,3.73
byly uloženy,3.73
zbytky sklepů,3.72
rb 1v,3.72
rb lil,3.72
zničena polem,3.71
polní trati,3.71
železniční trati,3.71
byle zničena,3.71
bouřlivého potoka,3.71
sousedního potoka,3.71
podie potoka,3.71
většině lokalit,3.71
popisu lokalit,3.71
seznam lokalit,3.71
potoka křimické-,3.71
straně západní,3.71
západní straně,3.71
hrady x,3.71
hrady kultura,3.71
hrady x/1,3.71
zalesněný vrch,3.71
vinný vrch,3.71
vrch jezer,3.71
eblický vrch,3.71
vrch severovýchodne,3.71
zámecký vrch,3.71
kostelní vrch,3.71
rb ii,3.70
dolní část,3.70
lokalita zničena,3.70
rb iv,3.69
vnějším opevnění,3.69
vnější opevnění,3.69
jest ztracena,3.69
jest uvedeno,3.69
jest nerovný,3.69
jejím opevnění,3.69
původního opevnění,3.69
jest zachycena,3.69
opevnění vnější,3.69
vodním příkopem,3.69
hlubokým příkopem,3.69
příkopem hradním,3.69
obehnáno příkopem,3.69
obklopena příkopem,3.69
obehnána příkopem,3.69
obehnané příkopem,3.69
okraji vsi,3.68
části vsi,3.67
zbytky paláce,3.67
zbytky hradeb,3.67
boky skály,3.67
máchova jezera,3.67
jižní boky,3.67
prudký svah,3.67
máchově jezeře,3.67
castrum klepy,3.67
strmý svah,3.67
knovízské střepy,3.67
polní cestou,3.67
vybudovaním cukrovaru,3.67
velká nohavice,3.67
prováděl br,3.67
sousedství hostince,3.67
saaz $5,3.67
rozbořeného dvora,3.67
znovu vybudována,3.67
úřední budova,3.67
žádná budova,3.67
brx n,3.67
budova špýcharu,3.67
budova spýcharu,3.67
• staré,3.67
altovedense n,3.67
deblickém vrchu,3.67
nalezeny střepy,3.67
beze stop,3.67
temeni skály,3.67
swadow castrum,3.67
stěny skály,3.67
šroubovém vrchu,3.67
„231 lvová,3.67
vrcholu kopce,3.67
kdy jich,3.67
přerušen cestou,3.67
dvora slavíkova,3.67
budova čp,3.67
kdy vyhořel,3.67
významnou kaplí,3.67
podél jižní,3.67
okraji osady,3.67
straně obce,3.66
br ii,3.65
nebylo možno,3.65
možno určití,3.65
možno identifikovat,3.65
možno určiti,3.65
možno souditi,3.65
možno soudit,3.65
okraji obce,3.64
križovatkou silnice,3.64
levémstraně silnice,3.64
úpravě silnice,3.64
silnice libchava-č,3.64
de silnice,3.64
silnice habartúce,3.64
zřícenina hradu,3.64
zříceniny hradu,3.64
původního hradu,3.64
norníno hradu,3.64
vnitrního hradu,3.64
původním hradu,3.64
plán hradu,3.64
zániku hradu,3.64
městiště hradu,3.64
založením hradu,3.64
zámečku zjištěny,3.64
moderního zámečku,3.64
zámečku cest,3.64
pozdějšího zámečku,3.64
pijsstianech tvrze,3.63
původní tvrze,3.63
exitenci tvrze,3.63
dvě tvrze,3.63
tvrze král,3.63
zbytek tvrze,3.63
zandowie tvrze,3.63
tvrze zachová-,3.63
zániku tvrze,3.63
walkerzicze tvrze,3.63
nebyla zjištěna,3.62
zemí sklepy,3.62
rossáhlé sklepy,3.62
mnohočlenité sklepy,3.62
rozsáhlé sklepy,3.62
přestavbou zámku,3.62
pustém zámku,3.62
areál zámku,3.62
areálu zámku,3.62
sklepě zámku,3.62
zbytky opevnění,3.62
der pol,3.62
2m hluboký,3.60
lc vi,3.60
památky viii,3.60
příjezdové cesty,3.60
rtyně n/bíl,3.60
rtyně n/bĺl,3.60
hluboký důl,3.60
lesní cesty,3.60
lc vii,3.60
táhne směrem,3.60
malého hrádku,3.60
3m hluboký,3.60
tři cesty,3.60
vznik hrádku,3.60
městiště hrádku,3.60
horní vysoká,3.60
rb iii,3.59
lc ii,3.58
dolejší brána,3.57
zasypaného příkopu,3.57
pozůstatky pův,3.57
zachoval pův,3.57
záhy vystavěn,3.57
příkopu keře,3.57
místě hradu,3.56
zbytky hradu,3.56
místě zámečku,3.56
bílá hora,3.56
červená hora,3.56
kvádrová hora,3.56
zbytky tvrze,3.55
místě tvrze,3.55
osady rybnov,3.55
úplně zničena,3.55
jižní straně,3.55
straně jižní,3.55
profous mmmm,3.54
profous itt,3.54
profous tv,3.54
jižní části,3.53
špýchar st,3.53
děčín —,3.53
ořres děčín,3.53
část valu,3.53
plocha lokality,3.53
číslo lokality,3.53
lokality 235-284,3.53
stavbou cukrovaru,3.52
profous ii,3.52
vystavěn dvůr,3.52
okres děčín,3.52
pobočka stát,3.52
areál stát,3.52
hospodářství stát,3.52
nádvořím stát,3.52
štítu stát,3.52
dvůt stát,3.52
profous iv,3.51
snad sklepů,3.51
koncem xiv,3.51
počátkem xiv,3.51
hrady' xiv,3.51
polovině xiv,3.51
farním xiv,3.51
- xiv,3.51
přelomu xiv,3.51
počátku xiv,3.51
horní libchava,3.51
starý hrad,3.50
hrad hasištejn,3.50
hrad koštál,3.50
hrad hazaburk,3.50
knížecí hrad,3.50
královský hrad,3.50
hrad panna,3.50
hrad kalich,3.50
hrad pbboha,3.50
původní hrad,3.50
hrad hněvín,3.50
kamenný hrad,3.50
hrad mostský,3.50
hrad usek,3.50
hrad kyšperk,3.50
hrad strekov,3.50
zadní hrad,3.50
hrad frýdlant,3.50
hrad ostrý,3.50
kostomlaty- hrad,3.50
hrad rýzmburk,3.50
hrad blankenš±ejn,3.50
hrad falkenberk,3.50
hrad hazmburk,3.50
hrad milštejn,3.50
hrad vrabinec,3.50
co38pf hrad,3.50
hrad rýzmvurk,3.50
hrad litýš,3.50
hrad frýdlant-neg,3.50
vlastní hrad,3.50
hrad vartenberk,3.50
obepínají hrad,3.50
hrad stohánek,3.50
hrad oatrý,3.50
části hradu,3.50
skálu dělí,3.50
spojen můstkem,3.50
hermann vypravuje,3.50
bývalá myslivna,3.50
stavení čp,3.50
malém ostrůvku,3.50
kostelík sv,3.50
možná lokalisace,3.50
malé prostranství,3.50
obec koupila,3.50
sousedním domku,3.50
mírněji sklání,3.50
povrch hory,3.50
sýpka hospodář,3.50
středověká keramika,3.50
král václav,3.50
kopcovitým hřebenem,3.50
samotný kostelík,3.50
/z hamr,3.50
nyní slouží,3.50
ploché střechy,3.50
nízké ostrožně,3.50
zbytcích zjištěna,3.50
porostlý křovinami,3.50
zbytek sklepa,3.50
čelní fronta,3.50
lesní správy,3.50
malém osrůvku,3.50
návesním rybníku,3.50
svého neczimicz,3.50
de sedczicz,3.50
ob tatinná,3.50
nemají podobu,3.50
vozová cesta,3.50
dán světci,3.50
starší název,3.50
zničen cihelnou,3.50
těmito přestavbami,3.50
jihozápadní stěně,3.50
byýval palác,3.50
dvr zv,3.50
silážní jámy,3.50
dnešní hřbitov,3.50
kostomlaty p,3.50
zachováno dvojbraní,3.50
sýpka odstraněna,3.50
sulejvic sed,3.50
patrné prohlubeniny,3.50
dolního nádraží,3.50
měrunický potok,3.50
in bukov,3.50
kámen snesený,3.50
čistění louky,3.50
statek čp,3.50
obec božtěšice,3.50
němu vede,3.50
blíže nádraží,3.50
východe severovýchodně,3.50
zpráva obsahuje,3.50
seznam literatury,3.50
možný přístup,3.50
pikhartská věž,3.50
bedřichův světec,3.50
lípa-hrad lemberk,3.50
dnešní hosp,3.50
způsob hlásky,3.50
okraj tvoří,3.50
starého sklepa,3.50
zdivu nenalézaný,3.50
struzenecz resid,3.50
výsek map,3.50
zámeckém parku,3.50
domácí potřeby,3.50
závěrečná zpráva,3.50
zkoumaném území,3.50
skladiště jzd,3.50
území přicházejících,3.50
písemných pramenech,3.50
úplné zřícenině,3.50
teychlowecz resid,3.50
česká kamenice,3.50
skutečně jde,3.50
severu hlubší,3.50
jednom oblouku,3.50
terénním průzkumu,3.50
české kamenice,3.50
poblíže jiřetína,3.50
nyní přístupná,3.50
lo lo,3.50
et henr,3.50
rene reneslohu,3.50
četných úpravách,3.50
častěji bořek,3.50
moravěvsi sed,3.50
zarostlý křovinami,3.50
ostrůvek rozvezen,3.50
místě pův,3.49
zbytky pův,3.49
stavbou zámečku,3.49
lokality č,3.49
stavbě dvora,3.48
valy rozvezeny,3.47
neboč valy,3.47
vybudovány valy,3.47
uzavřený valy,3.47
valy zmúzely,3.47
valy chybí,3.47
příčnými valy,3.47
chybí valy,3.47
hradební zdi,3.47
dvora mlýna,3.47
šimák 1/5,3.47
osady lvová,3.47
dvůr stát,3.47
bývala snad,3.46
ralskem č,3.46
úštěckým potokem,3.45
později přestavována,3.45
později úpravami,3.45
obtékaném potokem,3.45
potokem křimicí,3.45
kol zámku,3.45
veškeré stopy,3.45
žádné stopy,3.45
též stopy,3.45
má stopy,3.45
čímž stopy,3.45
jakékoliv stopy,3.45
konec ostrohu,3.44
jazykovitém ostrohu,3.44
zalesněném ostrohu,3.44
zámky liberec,3.44
okres litoměřice,3.44
stavbě zámku,3.44
vrchol věže,3.43
východní částí,3.43
zdvíhá val,3.43
vnější val,3.43
polokruhový val,3.43
nepravidelný val,3.43
val chybí,3.43
nízký val,3.43
- val,3.43
střední val,3.43
nebylo• kromě,3.43
dvojitý val,3.43
dvou místech,3.43
zbytky brány,3.42
zbytky stavení,3.42
zbytky věžě,3.42
chudý hrádek,3.42
in hrádek,3.42
myší hrádek,3.42
původní hrádek,3.42
červený hrádek,3.42
profous iii,3.41
dolní hrad,3.40
zvláštni škola,3.40
areál býv,3.40
proti býv,3.40
spojení kostela,3.40
pozemek býv,3.40
zazděný vchod,3.40
okrouhlý pahorek,3.40
areálu býv,3.40
sousedního kostela,3.40
pahorek sv,3.40
učňovská škola,3.40
farního kostela,3.40
tvrořila vchod,3.40
přestavbě býv,3.40
průsečíku kostela,3.40
nedaleko býv,3.40
městem chřibská,3.40
demolici kostela,3.40
stávala patrně,3.39
původní tvrzi,3.39
tvrzi dubanech,3.39
tvrzi prachové,3.39
bývalé tvrzi,3.39
té tvrzi,3.39
tvrzi zbyly,3.39
tvrzi patokrajích,3.39
tvrzi lukowie,3.39
tvrzi swadowie,3.39
pozdější tvrzi,3.39
tvrzi přiléhá,3.39
tvrze vybudován,3.38
vybudována snad,3.38
jihozápadní straně,3.38
okres chomutov,3.38
hred blansko,3.38
celkové mapě,3.38
nynější zámek,3.36
lyteysz zámek,3.36
zámek sták,3.36
bývalý zámek,3.36
zámek wikowecz,3.36
starý zámek,3.36
licžkow zámek,3.36
rozsáhlý zámek,3.36
myší zámek,3.36
biskupský zámek,3.36
dnešní zámek,3.36
obcí hradec,3.36
obcí vyvýšenina,3.36
katastrálních obcí,3.36
okreg louny,3.36
dkres louny,3.36
jest odděleno,3.36
okres most,3.36
celá obec,3.36
odděleno příkopem,3.35
okres louny,3.35
horní hrad,3.35
mapě č,3.34
dosud znát,3.33
budově čp,3.33
obcemi třeboutice,3.33
kostel sv,3.33
georgii confir,3.33
xiv/1876 str,3.33
samoty vítkovec,3.33
/na spec,3.33
valené klenuté,3.33
návsi čp,3.33
sadově upraven,3.33
okolní terén,3.33
archiv třeboň,3.33
židovic severozápadně,3.33
mlýnem '’sauermuhle’,3.33
silné zdivo,3.33
obcemi všechlapy,3.33
chlumec llo,3.33
- sedl,3.33
zápisů praž,3.33
ldo libouchec,3.33
zámkem pustým,3.33
zprávě čj,3.33
tscherney ant,3.33
mostě želénky,3.33
poblíže žel,3.33
